ID,Name,StudyHours,Attendance,Marks
186,Student_186,6.9,52,44.3
189,Student_189,5.8,58,84.3
190,Student_190,3.2,52,61.2
191,Student_191,1.8,74,57.8
193,Student_193,9.1,61,86.5
195,Student_195,4.1,58,51.1
196,Student_196,4.1,64,50.4
198,Student_198,9.1,74,70.3
199,Student_199,9.0,54,85.9
200,Student_200,8.0,60,55.9
202,Student_202,1.8,73,44.9
203,Student_203,2.5,64,98.1
205,Student_205,6.5,57,86.2
206,Student_206,1.1,54,77.5
209,Student_209,1.0,67,47.3
210,Student_210,2.4,55,76.9
213,Student_213,6.9,62,71.8
215,Student_215,7.4,54,98.1
216,Student_216,3.1,62,87.9
217,Student_217,3.9,66,57.6
224,Student_224,4.3,52,47.7
229,Student_229,9.0,62,65.9
232,Student_232,5.5,55,96.6
233,Student_233,6.2,73,54.4
234,Student_234,5.4,68,47.3
235,Student_235,2.8,65,70.3
241,Student_241,9.5,62,90.8
244,Student_244,4.3,74,85.3
249,Student_249,9.7,56,79.4
250,Student_250,8.7,54,50.6
255,Student_255,2.5,72,49.9
257,Student_257,9.4,59,83.6
263,Student_263,2.3,67,72.5
265,Student_265,8.9,51,70.5
266,Student_266,7.7,63,57.9
267,Student_267,7.3,62,73.9
269,Student_269,4.2,61,92.4
271,Student_271,8.3,51,85.7
273,Student_273,8.8,62,67.7
278,Student_278,6.8,66,46.0
282,Student_282,4.0,73,73.3
286,Student_286,1.3,55,61.3
287,Student_287,5.2,68,87.0
289,Student_289,3.6,56,40.3
290,Student_290,6.3,59,85.7
295,Student_295,2.1,64,62.1
299,Student_299,6.6,71,92.6
300,Student_300,1.8,53,99.8
301,Student_301,1.5,69,62.1
305,Student_305,7.5,53,75.6
307,Student_307,5.6,66,64.8
308,Student_308,3.9,61,81.7
309,Student_309,8.2,71,40.2
310,Student_310,3.4,66,77.2
311,Student_311,5.0,59,61.3
312,Student_312,1.7,50,87.7
313,Student_313,1.2,71,45.6
315,Student_315,8.5,67,68.9
317,Student_317,4.7,63,43.9
320,Student_320,3.3,61,73.6
323,Student_323,6.9,61,88.3
324,Student_324,3.5,56,56.2
326,Student_326,7.6,60,69.9
328,Student_328,6.5,55,43.5
330,Student_330,3.2,64,87.1
333,Student_333,1.1,60,71.0
334,Student_334,2.0,72,66.4
340,Student_340,1.9,53,75.9
341,Student_341,5.4,66,84.1
343,Student_343,2.6,62,96.0
346,Student_346,6.5,64,78.2
349,Student_349,4.4,60,64.6
351,Student_351,5.5,51,63.0
353,Student_353,6.9,63,75.3
354,Student_354,2.5,69,51.1
355,Student_355,1.6,71,61.7
356,Student_356,6.8,60,60.1
358,Student_358,6.3,52,41.5
359,Student_359,9.5,66,89.9
363,Student_363,5.1,70,96.4
365,Student_365,9.5,65,65.8
367,Student_367,9.7,69,90.5
368,Student_368,9.1,55,51.2
369,Student_369,2.8,68,88.2
370,Student_370,1.6,54,67.5
371,Student_371,1.9,52,69.0
372,Student_372,1.2,50,48.0
374,Student_374,7.1,64,83.7
378,Student_378,1.2,74,85.9
379,Student_379,8.3,73,49.5
380,Student_380,3.5,61,76.6
381,Student_381,2.1,67,48.1
382,Student_382,7.3,64,85.1
384,Student_384,8.9,65,97.4
386,Student_386,8.2,57,43.4
388,Student_388,2.6,74,55.7
389,Student_389,7.8,66,54.8
391,Student_391,9.9,57,55.0
392,Student_392,4.7,64,56.3
396,Student_396,9.4,56,43.9
397,Student_397,8.7,52,69.3
400,Student_400,7.8,73,94.4
401,Student_401,1.9,52,70.3
402,Student_402,9.1,69,71.9
404,Student_404,8.4,64,60.8
405,Student_405,3.9,74,94.0
407,Student_407,4.5,63,79.8
408,Student_408,1.1,56,97.8
409,Student_409,9.1,66,73.6
411,Student_411,3.9,69,43.1
413,Student_413,9.6,58,55.6
416,Student_416,5.0,71,55.4
417,Student_417,3.6,51,79.3
418,Student_418,4.0,73,51.9
419,Student_419,7.1,57,73.9
420,Student_420,7.8,60,67.8
421,Student_421,8.1,62,70.3
422,Student_422,8.1,66,76.5
423,Student_423,1.8,57,61.0
424,Student_424,5.4,70,46.8
425,Student_425,1.5,67,49.1
427,Student_427,5.0,67,55.1
433,Student_433,6.6,60,83.4
435,Student_435,1.8,74,82.5
439,Student_439,7.4,57,69.1
440,Student_440,1.7,60,49.9
441,Student_441,1.8,71,96.7
443,Student_443,4.4,73,80.1
445,Student_445,8.3,66,64.7
446,Student_446,9.5,61,79.1
449,Student_449,4.4,64,70.8
450,Student_450,1.8,65,88.4
451,Student_451,8.0,71,67.6
453,Student_453,4.8,69,87.2
455,Student_455,2.0,59,55.5
460,Student_460,2.1,51,52.3
464,Student_464,6.3,62,54.3
467,Student_467,3.6,62,86.3
469,Student_469,3.0,71,43.9
471,Student_471,1.1,51,70.3
477,Student_477,1.7,64,62.8
483,Student_483,5.1,60,87.6
484,Student_484,6.6,52,74.7
485,Student_485,6.3,55,78.1
486,Student_486,9.1,58,87.9
487,Student_487,1.4,55,63.8
488,Student_488,3.5,58,94.9
494,Student_494,2.7,61,91.4
495,Student_495,5.2,57,94.4
496,Student_496,4.2,57,56.6
499,Student_499,9.8,69,52.1
501,Student_501,7.3,56,93.6
502,Student_502,5.8,60,79.3
503,Student_503,3.8,69,49.1
504,Student_504,8.3,65,66.4
505,Student_505,7.2,53,76.9
506,Student_506,2.5,55,45.0
507,Student_507,9.2,71,92.9
509,Student_509,9.5,52,70.3
512,Student_512,4.8,63,99.0
513,Student_513,9.4,60,80.1
514,Student_514,8.8,67,78.1
515,Student_515,1.4,61,50.0
516,Student_516,1.2,72,92.9
517,Student_517,4.4,61,65.6
518,Student_518,8.3,62,49.7
519,Student_519,9.9,74,40.8
522,Student_522,4.4,68,83.2
526,Student_526,5.2,57,51.2
531,Student_531,8.3,67,58.9
532,Student_532,10.0,55,68.3
533,Student_533,10.0,67,89.3
534,Student_534,6.0,68,67.6
535,Student_535,7.9,71,61.5
539,Student_539,5.1,52,50.4
541,Student_541,9.6,59,89.6
545,Student_545,6.6,64,60.9
547,Student_547,2.0,56,84.9
548,Student_548,7.0,61,79.1
551,Student_551,5.7,70,90.5
553,Student_553,6.0,73,98.7
554,Student_554,6.0,69,78.0
556,Student_556,4.6,53,80.6
559,Student_559,7.8,69,44.2
560,Student_560,6.6,73,50.5
569,Student_569,9.1,51,52.8
570,Student_570,4.1,64,42.0
573,Student_573,4.6,55,96.3
578,Student_578,9.3,61,55.6
579,Student_579,5.4,52,94.4
581,Student_581,5.1,67,73.6
583,Student_583,5.4,70,66.8
584,Student_584,4.0,64,67.6
588,Student_588,2.2,57,98.6
592,Student_592,6.8,72,84.4
595,Student_595,9.1,63,91.5
596,Student_596,5.3,63,57.5
597,Student_597,7.0,51,94.6
599,Student_599,2.7,54,88.3
604,Student_604,1.8,63,89.8
606,Student_606,5.1,74,92.4
607,Student_607,2.9,69,46.8
608,Student_608,4.3,51,82.2
610,Student_610,7.2,55,45.8
611,Student_611,1.4,66,54.5
612,Student_612,8.2,74,70.3
614,Student_614,1.7,51,58.1
617,Student_617,1.5,54,58.0
618,Student_618,3.5,50,84.6
620,Student_620,7.7,61,94.2
623,Student_623,4.3,72,75.6
626,Student_626,4.3,60,44.7
627,Student_627,5.2,59,54.4
628,Student_628,7.7,52,87.7
629,Student_629,1.3,63,42.1
630,Student_630,3.3,65,75.0
631,Student_631,7.4,59,99.7
633,Student_633,5.6,59,70.3
634,Student_634,5.8,61,43.8
637,Student_637,5.8,50,46.9
638,Student_638,3.2,54,45.6
639,Student_639,3.4,69,94.6
640,Student_640,4.4,57,80.2
642,Student_642,3.9,61,92.7
643,Student_643,2.9,50,74.3
644,Student_644,3.9,69,71.0
650,Student_650,5.5,61,93.6
657,Student_657,3.6,64,70.7
658,Student_658,4.3,55,46.3
660,Student_660,6.1,69,69.3
662,Student_662,9.9,63,97.0
663,Student_663,6.5,51,76.0
664,Student_664,3.1,58,84.6
666,Student_666,2.4,69,78.0
669,Student_669,2.7,50,61.7
671,Student_671,2.6,55,42.7
673,Student_673,1.7,54,56.6
677,Student_677,2.0,63,51.8
678,Student_678,4.6,61,76.6
680,Student_680,8.8,69,52.4
682,Student_682,3.3,73,40.3
685,Student_685,9.4,74,42.2
693,Student_693,5.6,72,63.8
696,Student_696,6.5,69,46.8
697,Student_697,3.6,72,60.7
699,Student_699,2.4,65,92.5
702,Student_702,1.5,57,99.6
704,Student_704,2.2,70,56.5
705,Student_705,1.6,50,63.7
706,Student_706,9.9,57,65.3
710,Student_710,7.1,54,76.5
712,Student_712,6.4,71,89.4
715,Student_715,4.1,50,40.1
718,Student_718,9.7,59,55.5
721,Student_721,9.4,67,81.2
722,Student_722,2.6,66,46.9
724,Student_724,7.7,57,67.4
728,Student_728,8.2,61,85.1
730,Student_730,2.5,57,44.8
731,Student_731,2.5,74,61.3
733,Student_733,7.0,53,80.1
735,Student_735,4.2,50,61.7
736,Student_736,8.9,68,75.6
738,Student_738,8.3,65,78.2
739,Student_739,5.0,63,94.8
741,Student_741,5.2,54,92.4
745,Student_745,3.1,51,44.0
747,Student_747,4.5,55,48.5
748,Student_748,5.9,58,40.7
751,Student_751,2.1,74,69.2
753,Student_753,6.6,62,42.6
754,Student_754,4.0,58,47.4
755,Student_755,2.3,62,73.5
758,Student_758,5.8,60,79.1
759,Student_759,9.0,53,90.7
763,Student_763,3.2,53,56.5
765,Student_765,1.3,68,87.3
766,Student_766,6.1,55,66.8
768,Student_768,8.9,67,89.3
769,Student_769,4.1,62,91.5
771,Student_771,2.0,72,65.9
772,Student_772,8.6,68,59.1
774,Student_774,4.6,60,62.3
775,Student_775,8.2,50,76.1
776,Student_776,2.3,73,82.3
777,Student_777,3.1,56,81.3
778,Student_778,7.5,74,62.5
779,Student_779,7.5,70,50.0
780,Student_780,6.8,64,65.8
781,Student_781,7.2,50,48.6
782,Student_782,5.9,61,93.4
783,Student_783,3.3,56,60.8
784,Student_784,4.1,64,49.3
785,Student_785,2.6,70,41.5
786,Student_786,9.2,68,78.7
788,Student_788,4.6,74,60.4
797,Student_797,9.4,60,67.2
799,Student_799,7.3,57,48.4
801,Student_801,7.4,63,41.7
802,Student_802,2.4,59,70.3
803,Student_803,6.2,51,97.8
805,Student_805,4.8,58,42.3
806,Student_806,7.6,52,41.9
807,Student_807,9.4,70,63.3
809,Student_809,5.1,57,41.4
811,Student_811,9.9,51,67.5
812,Student_812,8.6,55,57.4
816,Student_816,5.7,74,58.8
817,Student_817,6.3,61,93.3
818,Student_818,4.6,54,76.2
822,Student_822,1.0,64,97.7
825,Student_825,5.8,64,60.4
828,Student_828,4.1,72,70.3
829,Student_829,7.6,55,72.5
835,Student_835,5.5,70,51.7
836,Student_836,4.8,72,43.5
838,Student_838,4.3,65,56.2
840,Student_840,6.7,64,73.5
841,Student_841,1.1,74,60.8
843,Student_843,2.6,60,48.4
845,Student_845,2.3,64,77.6
846,Student_846,4.7,53,69.3
847,Student_847,1.8,70,64.1
848,Student_848,10.0,62,99.6
849,Student_849,5.5,71,92.8
850,Student_850,6.4,68,70.3
852,Student_852,7.7,63,77.2
853,Student_853,2.9,53,52.1
861,Student_861,8.0,57,83.3
862,Student_862,5.1,65,72.0
866,Student_866,6.0,67,47.5
867,Student_867,2.4,51,87.7
869,Student_869,8.8,62,92.6
870,Student_870,9.5,53,96.6
872,Student_872,3.4,74,67.8
874,Student_874,4.7,60,69.0
875,Student_875,1.2,56,91.8
878,Student_878,6.9,59,57.1
880,Student_880,3.0,62,85.7
882,Student_882,7.0,56,70.7
887,Student_887,6.9,69,64.5
888,Student_888,3.1,53,89.7
889,Student_889,1.9,56,70.3
890,Student_890,3.2,50,74.4
895,Student_895,7.0,62,66.3
896,Student_896,2.8,71,90.8
897,Student_897,3.6,70,93.6
898,Student_898,9.1,71,43.7
900,Student_900,1.8,58,66.9
902,Student_902,1.2,58,77.6
903,Student_903,2.6,64,95.6
904,Student_904,6.2,59,41.1
905,Student_905,4.8,73,68.6
907,Student_907,8.4,57,83.4
908,Student_908,4.1,73,81.6
909,Student_909,3.3,65,48.1
914,Student_914,4.7,53,52.6
916,Student_916,4.9,73,40.5
917,Student_917,3.7,68,70.3
920,Student_920,2.3,59,57.7
921,Student_921,8.8,74,40.9
922,Student_922,5.4,67,84.3
923,Student_923,9.1,68,70.3
925,Student_925,4.8,59,70.3
928,Student_928,5.9,54,79.5
935,Student_935,2.5,70,64.5
936,Student_936,3.5,66,64.4
937,Student_937,1.2,71,44.0
940,Student_940,6.2,64,88.5
943,Student_943,6.9,56,97.3
945,Student_945,2.9,60,58.0
946,Student_946,1.1,59,44.6
947,Student_947,2.2,58,70.0
948,Student_948,9.1,63,87.7
949,Student_949,8.9,62,82.4
950,Student_950,6.4,74,43.0
951,Student_951,6.4,51,70.3
953,Student_953,2.6,56,57.7
954,Student_954,9.2,70,53.9
955,Student_955,4.8,67,56.9
956,Student_956,4.4,52,88.2
961,Student_961,1.7,60,68.6
963,Student_963,3.2,73,78.4
965,Student_965,3.6,68,76.2
966,Student_966,4.2,53,61.5
979,Student_979,5.5,52,88.2
980,Student_980,6.4,58,73.2
981,Student_981,4.0,57,71.2
983,Student_983,2.0,55,86.5
986,Student_986,5.5,53,57.1
987,Student_987,7.2,62,70.3
989,Student_989,3.2,51,43.3
990,Student_990,8.4,54,84.9
994,Student_994,6.3,70,42.8
995,Student_995,4.2,57,56.6
997,Student_997,9.3,57,43.8
999,Student_999,9.6,52,40.2
