ID,Name,StudyHours,Attendance,Marks
776,Student_776,2.3,73,82.3
777,Student_777,3.1,56,81.3
782,Student_782,5.9,61,93.4
786,Student_786,9.2,68,78.7
787,Student_787,6.3,78,78.2
792,Student_792,6.3,98,80.6
793,Student_793,5.6,84,76.3
796,Student_796,8.8,75,99.3
798,Student_798,6.1,84,81.3
803,Student_803,6.2,51,97.8
810,Student_810,2.0,97,85.4
813,Student_813,2.1,77,94.0
815,Student_815,8.8,75,97.4
817,Student_817,6.3,61,93.3
818,Student_818,4.6,54,76.2
820,Student_820,4.0,97,99.0
822,Student_822,1.0,64,97.7
830,Student_830,5.1,95,85.7
831,Student_831,3.0,99,90.0
839,Student_839,6.2,96,98.0
845,Student_845,2.3,64,77.6
848,Student_848,10.0,62,99.6
849,Student_849,5.5,71,92.8
852,Student_852,7.7,63,77.2
859,Student_859,6.1,77,97.8
860,Student_860,1.6,84,94.6
861,Student_861,8.0,57,83.3
863,Student_863,5.7,91,92.2
865,Student_865,4.6,79,87.4
867,Student_867,2.4,51,87.7
869,Student_869,8.8,62,92.6
870,Student_870,9.5,53,96.6
873,Student_873,6.8,79,98.9
875,Student_875,1.2,56,91.8
880,Student_880,3.0,62,85.7
885,Student_885,8.2,91,91.9
886,Student_886,2.6,85,98.8
888,Student_888,3.1,53,89.7
891,Student_891,7.5,93,97.4
894,Student_894,4.6,96,91.2
896,Student_896,2.8,71,90.8
897,Student_897,3.6,70,93.6
899,Student_899,1.1,77,93.0
902,Student_902,1.2,58,77.6
903,Student_903,2.6,64,95.6
907,Student_907,8.4,57,83.4
908,Student_908,4.1,73,81.6
912,Student_912,3.4,76,88.3
915,Student_915,6.0,99,97.4
918,Student_918,9.5,85,80.6
919,Student_919,7.9,88,89.7
922,Student_922,5.4,67,84.3
924,Student_924,8.2,85,84.4
926,Student_926,1.2,82,85.2
927,Student_927,3.4,99,86.1
928,Student_928,5.9,54,79.5
930,Student_930,3.3,98,90.8
931,Student_931,2.3,84,76.8
940,Student_940,6.2,64,88.5
941,Student_941,3.5,84,96.9
943,Student_943,6.9,56,97.3
948,Student_948,9.1,63,87.7
949,Student_949,8.9,62,82.4
956,Student_956,4.4,52,88.2
957,Student_957,5.7,91,95.8
959,Student_959,2.5,90,94.4
963,Student_963,3.2,73,78.4
964,Student_964,4.5,95,98.7
965,Student_965,3.6,68,76.2
967,Student_967,7.5,75,78.9
969,Student_969,6.1,91,93.3
973,Student_973,7.6,95,77.5
975,Student_975,1.3,89,81.0
977,Student_977,6.4,82,82.8
978,Student_978,1.5,85,89.4
979,Student_979,5.5,52,88.2
983,Student_983,2.0,55,86.5
988,Student_988,4.9,98,77.8
990,Student_990,8.4,54,84.9
996,Student_996,1.8,87,82.4
998,Student_998,2.2,99,90.4
